Subject,Profit,Role,endowment,choice,Belief,TimeCQ,CountCQ,SVO,Studium,Semesterzahl,Alter,Geschlecht,Session
1,12,0,11,1,0,7,0,0.136402604400947,Ernährungswissenschaften,1,22,1,1
2,18,1,19,3,0,4,0,0.370680540659829,Lehramt Geographie,11,23,1,1
3,19.7,1,19,1,0,4,0,0.513695226706809,Soziologie (MA),1,23,1,1
4,19.7,1,19,1,0,4,0,0.136402604400947,BioGeoWissenschaften,1,20,1,1
5,17.18,1,19,3,0,4,0,0.647549669669313,Soziologie,03,25,1,1
6,11.7,0,11,1,0,4,0,0.136402604400947,zahnmedizin,3,19,1,1
7,11.7,0,11,1,0,4,0,0.136402604400947,Biologie,3,22,1,1
8,17.44,1,19,3,0,5,0,0.448723344010721,"Lehramt Mathematik, Philosophie",1,19,1,1
9,11.7,0,11,1,0,14,0,0.785398163397448,Maschinenbau,5,23,0,1
10,19.5,1,19,1,0,4,0,0.654191491000836,Psychologie Master (Kognitive Psychologie/Neurowissenschaften),1,25,1,1
11,15.7,1,19,5,0,4,0,0.785398163397448,Wirtschaftsingeneurwesen Industrie,1,20,1,1
12,17.44,1,19,3,0,4,0,0.270094153891918,Rechtswissenschaften,4,21,0,1
13,11.7,0,11,1,0,4,0,0.136402604400947,Sozial- und Verhaltenswissenschaften/Erziehungswissenschaft,1,20,1,1
14,12,0,11,1,0,4,0,0.136402604400947,Wirtschaftwissenschaften,1,19,0,1
15,11,0,11,1,0,5,0,0.654191491000836,Wirtschaftswissenschaften,1,19,1,1
16,11,0,11,1,0,4,0,0.416064505723823,Medizin,5,22,0,1
17,11.7,0,11,1,0,4,0,0.136402604400947,Wirtschaftswissenschaften/ BWL,1,23,1,1
18,11.7,0,11,1,0,4,0,0.633483228995002,Politikwissenschaft,3,20,0,1
19,11.58,0,11,1,0,7,0,0.136402604400947,IWK,1,22,1,1
20,10.3,0,11,1,0,13,1,0.101609643842451,Wirtschaftswissenschaften,2,25,1,1
21,17.7,1,19,3,0,7,0,0.515549007458979,Sozial und Verhaltenswissenschaften/Erziehungswissenschaften,9,24,1,1
22,10.94,0,11,1,0,4,0,0.136402604400947,Psychologie,3,25,0,1
23,19.7,1,19,1,1,4,0,0.590306746935372,Psychologie,1,20,1,1
24,9.5,0,11,3,0,4,0,0.555976943732405,Chemie,1,20,1,1
25,19.7,1,19,1,0,4,0,0.136402604400947,Ernährungswissenschaften,1,21,1,1
26,18.94,1,19,1,0,4,0,0.31670009228757,Fak. für Sozial-und Verhaltenswiss./ Erziehungswissenschaft,1,20,1,1
27,17.7,1,19,3,0,4,0,0.513798571637373,Feinwerktechnik,7,24,0,1
28,19,1,19,1,1,9,0,0.654191491000836,wirtschaftswissenschaften,1,21,1,1
33,11.78,0,11,1,0,3,0,0.402724942439084,LAG Latein/Philosophie,5,21,0,2
34,12,0,11,1,0,3,0,0.512850289771204,Sportwissenschaft (Sozial- und Verhaltenswissenschaften),13,25,0,2
35,11.7,0,11,1,0,3,0,0.31670009228757,Psychologie,10,26,1,2
36,7.62,0,11,5,0,3,0,0.490206827246555,Pharmazie,1,21,1,2
37,9.7,0,11,3,0,4,0,0.608689307327412,wirtschaftswissenschaften,3,20,1,2
38,11.7,0,11,1,0,3,0,0.634651782277027,Südosteuropastudien/ Wirtschaftswissenschaften,3,26,1,2
39,15.26,1,19,5,0,3,0,0.654191491000836,Soziologie,1,21,0,2
40,15.36,1,19,5,0,3,0,0.549738226935052,FSU Jena - Humanmedizin,3,20,1,2
41,20,1,19,1,0,3,0,0.136402604400947,Geschichte/Philosophie,3,21,1,2
42,19.7,1,19,1,0,3,0,0.480099506606918,Lehramt Englisch/Sozialkunde,1,22,1,2
43,15.96,1,19,5,0,3,0,0.513319908983845,Wirtschaftswissenschaften,6,21,1,2
44,15.18,1,19,5,0,3,0,0.699403872203207,Verhaltens-und Sozialwissenschaften/ Politikwissenschaft,3,20,1,2
45,9.26,0,11,3,0,3,0,0.654191491000836,Chemie,1,20,1,2
46,15.62,1,19,5,0,3,0,0.448723344010721,Lehramt,3,19,1,2
47,18,1,19,3,0,3,0,0.136402604400947,"Lehramt/Germanistik, Geschichte",1,19,1,2
48,11.52,0,11,1,0,7,0,0.65489413028706,Biologische Pharmazeutische Fakultät/Biochemie,1,18,0,2
49,9,0,11,3,0,3,1,0.788383229158022,Auslandsgermanistik,1,23,1,2
50,7.7,0,11,5,0,3,0,0.654191491000836,Geowissenschaften,1,18,1,2
51,17.38,1,19,3,0,3,0,1.06813506637449,Business Administration,3,23,0,2
52,11.7,0,11,1,0,3,0,0.136402604400947,Business Administration / BWL,5,26,0,2
53,15.7,1,19,5,0,3,0,0.785398163397448,Politikwissenschaft,7,24,0,2
54,9.36,0,11,3,0,3,0,0.36112029000685397,Pharmazie,1,26,1,2
