,Durchgang,Uhrzeit,Gebotindex,Geber,Ausgangswert,Anteil,Angebotskategorie,Reaktion,Reaktionszeit,subjectID,Teil
0,1,08:37:46:984,237,251.0,11.0,1.0,Topf_klein_wenig,Fehler,0.0,1,1
2,3,08:37:58:187,158,168.0,19.0,5.0,Topf_gross_viel,Abgelehnt,1002.4,1,1
3,4,08:38:02:171,143,151.0,11.0,1.0,Topf_klein_wenig,Angenommen,624.5,1,1
4,5,08:38:06:312,122,130.0,11.0,3.0,Topf_klein_mittel,Angenommen,736.9,1,1
5,6,08:38:12:203,238,252.0,11.0,1.0,Topf_klein_wenig,Angenommen,731.6,1,1
6,7,08:38:16:609,217,231.0,19.0,1.0,Topf_gross_wenig,Angenommen,553.8,1,1
7,8,08:38:23:078,169,179.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,699.8,1,1
8,9,08:38:27:312,22,22.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,713.3,1,1
9,10,08:38:32:937,58,62.0,19.0,5.0,Topf_gross_viel,Abgelehnt,605.6,1,1
10,11,08:38:38:890,185,197.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,765.2,1,1
11,12,08:38:46:078,203,215.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,794.7,1,1
13,14,08:38:56:484,118,124.0,19.0,5.0,Topf_gross_viel,Abgelehnt,838.3,1,1
15,16,08:39:06:890,51,55.0,19.0,5.0,Topf_gross_viel,Abgelehnt,978.0,1,1
16,17,08:39:11:937,208,220.0,19.0,5.0,Topf_gross_viel,Abgelehnt,813.7,1,1
17,18,08:39:16:546,102,108.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,795.2,1,1
18,19,08:39:23:109,48,52.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,490.4,1,1
19,20,08:39:29:109,159,169.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,584.6,1,1
20,21,08:39:34:875,160,170.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,750.8,1,1
21,22,08:39:39:312,224,238.0,11.0,5.0,Topf_klein_viel,Abgelehnt,899.6,1,1
23,24,08:39:48:484,128,136.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,561.0,1,1
24,25,08:39:55:265,76,82.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,551.5,1,1
25,26,08:40:01:796,227,241.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,615.3,1,1
26,27,08:40:08:500,43,47.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,616.6,1,1
27,28,08:40:14:046,82,88.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,640.2,1,1
28,29,08:40:20:828,93,99.0,19.0,5.0,Topf_gross_viel,Abgelehnt,686.7,1,1
29,30,08:40:25:671,210,222.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,546.7,1,1
30,31,08:40:31:546,54,58.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,468.8,1,1
31,32,08:40:37:218,15,15.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,383.8,1,1
32,33,08:40:42:796,38,42.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,446.7,1,1
33,34,08:40:48:734,34,38.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,574.9,1,1
